køn,bevægelsesart,område,aar,antal
Mænd,Befolkningen ultimo forrige år,København,2006,246624
Mænd,Befolkningen ultimo forrige år,København,2007,248190
Mænd,Befolkningen ultimo forrige år,København,2008,251736
Mænd,Befolkningen ultimo forrige år,København,2009,256404
Mænd,Befolkningen ultimo forrige år,København,2010,261213
Mænd,Befolkningen ultimo forrige år,København,2011,267028
Mænd,Befolkningen ultimo forrige år,København,2012,271418
Mænd,Befolkningen ultimo forrige år,København,2013,276256
Mænd,Befolkningen ultimo forrige år,København,2014,281651
Mænd,Befolkningen ultimo forrige år,København,2015,286916
Mænd,Befolkningen ultimo forrige år,København,2016,292245
Mænd,Befolkningen ultimo forrige år,København,2017,297647
Mænd,Befolkningen ultimo forrige år,Frederiksberg,2006,43111
Mænd,Befolkningen ultimo forrige år,Frederiksberg,2007,43285
Mænd,Befolkningen ultimo forrige år,Frederiksberg,2008,43863
Mænd,Befolkningen ultimo forrige år,Frederiksberg,2009,44754
Mænd,Befolkningen ultimo forrige år,Frederiksberg,2010,45579
Mænd,Befolkningen ultimo forrige år,Frederiksberg,2011,46559
Mænd,Befolkningen ultimo forrige år,Frederiksberg,2012,47193
Mænd,Befolkningen ultimo forrige år,Frederiksberg,2013,48094
Mænd,Befolkningen ultimo forrige år,Frederiksberg,2014,48356
Mænd,Befolkningen ultimo forrige år,Frederiksberg,2015,48582
Mænd,Befolkningen ultimo forrige år,Frederiksberg,2016,49374
Mænd,Befolkningen ultimo forrige år,Frederiksberg,2017,49774
Mænd,Befolkningen ultimo forrige år,Dragør,2006,6383
Mænd,Befolkningen ultimo forrige år,Dragør,2007,6413
Mænd,Befolkningen ultimo forrige år,Dragør,2008,6475
Mænd,Befolkningen ultimo forrige år,Dragør,2009,6556
Mænd,Befolkningen ultimo forrige år,Dragør,2010,6601
Mænd,Befolkningen ultimo forrige år,Dragør,2011,6679
Mænd,Befolkningen ultimo forrige år,Dragør,2012,6682
Mænd,Befolkningen ultimo forrige år,Dragør,2013,6798
Mænd,Befolkningen ultimo forrige år,Dragør,2014,6845
Mænd,Befolkningen ultimo forrige år,Dragør,2015,6839
Mænd,Befolkningen ultimo forrige år,Dragør,2016,6927
Mænd,Befolkningen ultimo forrige år,Dragør,2017,7004
Mænd,Befolkningen ultimo forrige år,Tårnby,2006,19313
Mænd,Befolkningen ultimo forrige år,Tårnby,2007,19377
Mænd,Befolkningen ultimo forrige år,Tårnby,2008,19436
Mænd,Befolkningen ultimo forrige år,Tårnby,2009,19516
Mænd,Befolkningen ultimo forrige år,Tårnby,2010,19607
Mænd,Befolkningen ultimo forrige år,Tårnby,2011,19886
Mænd,Befolkningen ultimo forrige år,Tårnby,2012,20058
Mænd,Befolkningen ultimo forrige år,Tårnby,2013,20310
Mænd,Befolkningen ultimo forrige år,Tårnby,2014,20674
Mænd,Befolkningen ultimo forrige år,Tårnby,2015,21050
Mænd,Befolkningen ultimo forrige år,Tårnby,2016,21168
Mænd,Befolkningen ultimo forrige år,Tårnby,2017,21259
Mænd,Befolkningen ultimo forrige år,Albertslund,2006,13966
Mænd,Befolkningen ultimo forrige år,Albertslund,2007,13845
Mænd,Befolkningen ultimo forrige år,Albertslund,2008,13810
Mænd,Befolkningen ultimo forrige år,Albertslund,2009,13871
Mænd,Befolkningen ultimo forrige år,Albertslund,2010,13837
Mænd,Befolkningen ultimo forrige år,Albertslund,2011,13866
Mænd,Befolkningen ultimo forrige år,Albertslund,2012,13947
Mænd,Befolkningen ultimo forrige år,Albertslund,2013,13930
Mænd,Befolkningen ultimo forrige år,Albertslund,2014,13848
Mænd,Befolkningen ultimo forrige år,Albertslund,2015,13876
Mænd,Befolkningen ultimo forrige år,Albertslund,2016,13927
Mænd,Befolkningen ultimo forrige år,Albertslund,2017,13900
Mænd,Befolkningen ultimo forrige år,Ballerup,2006,22786
Mænd,Befolkningen ultimo forrige år,Ballerup,2007,22919
Mænd,Befolkningen ultimo forrige år,Ballerup,2008,23115
Mænd,Befolkningen ultimo forrige år,Ballerup,2009,23260
Mænd,Befolkningen ultimo forrige år,Ballerup,2010,23342
Mænd,Befolkningen ultimo forrige år,Ballerup,2011,23524
Mænd,Befolkningen ultimo forrige år,Ballerup,2012,23561
Mænd,Befolkningen ultimo forrige år,Ballerup,2013,23658
Mænd,Befolkningen ultimo forrige år,Ballerup,2014,23786
Mænd,Befolkningen ultimo forrige år,Ballerup,2015,23701
Mænd,Befolkningen ultimo forrige år,Ballerup,2016,23601
Mænd,Befolkningen ultimo forrige år,Ballerup,2017,23573
Mænd,Befolkningen ultimo forrige år,Brøndby,2006,16723
Mænd,Befolkningen ultimo forrige år,Brøndby,2007,16549
Mænd,Befolkningen ultimo forrige år,Brøndby,2008,16476
Mænd,Befolkningen ultimo forrige år,Brøndby,2009,16455
Mænd,Befolkningen ultimo forrige år,Brøndby,2010,16469
Mænd,Befolkningen ultimo forrige år,Brøndby,2011,16616
Mænd,Befolkningen ultimo forrige år,Brøndby,2012,16650
Mænd,Befolkningen ultimo forrige år,Brøndby,2013,16718
Mænd,Befolkningen ultimo forrige år,Brøndby,2014,16917
Mænd,Befolkningen ultimo forrige år,Brøndby,2015,17181
Mænd,Befolkningen ultimo forrige år,Brøndby,2016,17333
Mænd,Befolkningen ultimo forrige år,Brøndby,2017,17401
Mænd,Befolkningen ultimo forrige år,Gentofte,2006,32105
Mænd,Befolkningen ultimo forrige år,Gentofte,2007,32141
Mænd,Befolkningen ultimo forrige år,Gentofte,2008,32296
Mænd,Befolkningen ultimo forrige år,Gentofte,2009,32731
Mænd,Befolkningen ultimo forrige år,Gentofte,2010,33357
Mænd,Befolkningen ultimo forrige år,Gentofte,2011,33704
